Rank,Player,Pos,Nationality,League,GP,G,A,Pts,NHLe,Size,Fantasy_Tier,Style,Fantasy_Cats,Scouting_Note,Trend,Stock_Note
96,Parker Vaughan,RW,CAN,OHL (North Bay),42,6,8,14,8.2,6'0 178,Late,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
97,Alexei Vlasov,LW,RUS,QMJHL (Victoriaville),42,8,10,18,9.9,6'0 176,Late,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
98,Ossi Tukio,LD,FIN,SM-sarja (Ilves),26,1,3,4,2.0,6'2 190,Late,Defensive D,"Blk, TK/GV, Cor","Defensive specialist with limited offensive ceiling; fantasy value concentrated in blocked shots, takeaways, and possession metrics.",stable,
99,Morgan Anderberg,LW/C,SWE,SHL (Vaxjo),32,2,4,6,7.7,6'1 183,Late,Playmaker,"A, G, 2G+A",Playmaking forward whose elite vision and passing will produce assists and multi-point games; projects as a PP contributor with strong fantasy assist upside.,stable,
100,Rian Chudzinski,RW,USA,QMJHL (Moncton),40,6,8,14,8.1,6'0 176,Late,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
101,Wiggo Sorensson,C,SWE,Division 2 (Boro/Vetlanda),20,4,4,8,0.8,6'0 174,Late,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
102,Callum Croskery,LD,CAN,OHL (Soo),38,2,6,8,5.2,6'1 181,Late,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
103,Noah Kosick,C,CAN,WHL (Seattle),38,4,6,10,6.5,6'0 178,Late,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
104,Luka Arkko,C,FIN,U20 SM-sarja (Pelicans),26,4,4,8,1.8,6'0 174,Late,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
105,Michal Orsulak,G,CZE,WHL (Prince Albert),32,0,0,0,0.0,6'3 194,Late,Backup G,"W, SV%",Projects as a depth/backup option; W and SV% provide limited fantasy value dependent on deployment.,stable,
106,Niko Tournas,RW,USA,QMJHL (Moncton),38,6,6,12,7.3,6'1 185,Late,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
107,Adam Andersson,C,SWE,J20 Nationell (Leksand),26,4,4,8,2.2,6'0 178,Late,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
108,Dayne Beuker,C,USA,NTDP (USHL),24,4,6,10,5.1,6'1 183,Late,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
109,Theodor Knights,LD,SWE,J20 Nationell (MoDo),24,2,6,8,2.4,6'2 185,Late,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
110,Timofei Runtso,RD,USA,WHL (Victoria),36,2,6,8,5.5,6'1 181,Late,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
111,Axel Brongel-Larsson,LD,SWE,J20 Nationell (Frolunda),22,2,4,6,2.0,6'0 176,Late,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
112,Rudolfs Berzkalns,C,LAT,USHL (Muskegon),32,4,6,10,3.8,6'4 203,Late,Skilled Winger,"G, A, Hit, SOG","Big-bodied skilled forward who contributes offensively and adds some physicality; goals, assists, and shot totals are the core fantasy value.",stable,
113,Layne Gallacher,C,CAN,OHL (Guelph),36,4,6,10,6.8,6'0 178,Late,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
114,Cameron Chartrand,RD,CAN,QMJHL (Saint John),34,2,6,8,5.5,6'1 181,Late,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
